VARIABLE,FUENTE,COBERTURA,TIPO,PREPARACION_NECESARIA,USO_POTENCIAL,CLASIFICACION,RIESGO,OBSERVACION,INCLUIDA_V1
price_id,OP.id,485/485 filas,Int64,No codificar como magnitud,Identidad de observación; no predictor,B_IDENTIFICADOR_LINAJE,Memorización e identificación administrativa,No verificable históricamente,True
price_type,OP.type,485/485 filas,string,Separar PRODUCT de CATEGORY,Alcance PRODUCT constante,C_DESCRIPTIVA,Sin variación en v1,No verificable históricamente,True
product_code,OP.product_code = OFF.product.code,485/485 filas,string,Conservar ceros; no tratar como número continuo,Clave exacta de producto; candidato categórico solo con justificación posterior,B_IDENTIFICADOR_LINAJE,Memorización y dependencia del producto,Razonablemente estable como hipótesis; no acreditado históricamente,True
category_tag,OP.category_tag,0/485 filas,string,No sustituir categories_tags OFF,Taxón CATEGORY; no aplica en v1 PRODUCT,E_REQUIERE_PREPARACION,Columna íntegramente nula en este alcance,No verificable históricamente,True
price,OP.price,485/485 filas,object,"Delimitar moneda, cantidad y envase",Importe observado en currency,OBJETIVO_POTENCIAL,No es predictor; comparabilidad pendiente,Valor registrado por OP; no corrección histórica externa,True
price_per,OP.price_per,0/485 filas,string,No imputar unidad; ausente en PRODUCT,Base de medida del precio,E_REQUIERE_PREPARACION,485 nulos impiden afirmar precio unitario comparable,No verificable históricamente,True
currency,OP.currency,485/485 filas,string,Una moneda o estrategia posterior justificada,Definir escala y estrato monetario,A_CANDIDATO_CON_RESTRICCION,No tratar importes de monedas distintas como comparables,Valor registrado por OP; no corrección histórica externa,True
date,OP.date,485/485 filas,string,Conservar original y validar formato,Fecha de observación,A_PREDICTOR_CANDIDATO,Respetar cronología; no usar información futura,"Derivable de la fecha registrada, sin fuentes futuras",True
location_id,OP.location_id,485/485 filas,Int64,No magnitud continua; prever lugares nuevos,Clave de ubicación; candidato categórico condicionado,B_IDENTIFICADOR_LINAJE,Memorización y dependencia espacial,Valor registrado por OP; no corrección histórica externa,True
proof_id,OP.proof_id/proof_type,485/485 filas,Int64,Nulo es no consultado; False no implica inexistencia,Evidencia y trazabilidad; no predictor,B_IDENTIFICADOR_LINAJE,Evidencia posterior al precio y proofs compartidos; contenido podría filtrar target,No verificable históricamente,True
proof_type,OP.proof_id/proof_type,485/485 filas,string,Nulo es no consultado; False no implica inexistencia,Evidencia y trazabilidad; no predictor,B_IDENTIFICADOR_LINAJE,Evidencia posterior al precio y proofs compartidos; contenido podría filtrar target,No verificable históricamente,True
country,OP.location_osm_address_country,484/485 filas,string,Normalizar etiquetas; no geocodificar ni imputar,País del registro,A_PREDICTOR_CANDIDATO,Cobertura parcial y sesgo geográfico,Valor registrado por OP; no corrección histórica externa,True
city,OP.location_osm_address_city,479/485 filas,string,Normalizar con país; tratar faltantes,Ciudad del registro,A_PREDICTOR_CANDIDATO,"Homónimos, cardinalidad y cobertura parcial",Valor registrado por OP; no corrección histórica externa,True
